      -0.232081765196E+02        0.667249488422E-01       -0.231414515708E+02 
      -0.233798621434E+02        0.244962480033E+00       -0.231348996633E+02 
      -0.236609186984E+02        0.532070845945E+00       -0.231288478525E+02 
      -0.240482931978E+02        0.911794065256E+00       -0.231364991326E+02 
      -0.245329790965E+02        0.138248265887E+01       -0.231504964377E+02 
      -0.250975508412E+02        0.192450162009E+01       -0.231730492211E+02 
      -0.257052729522E+02        0.250304755248E+01       -0.232022253997E+02 
      -0.262911296142E+02        0.305546984013E+01       -0.232356597741E+02 
      -0.267581166667E+02        0.347562372180E+01       -0.232824929449E+02 
      -0.269896444965E+02        0.364850527014E+01       -0.233411392263E+02 
